,Year,CountStationsWithMax_AveMaxTemp,CountStationsWithMax_AveMinTemp,CountStationsWithMax_AccumPrec
1,1985,2,4,
2,1986,1,2,5
3,1987,13,18,1
4,1988,6,5,
5,1990,2,2,23
6,1991,1,7,
7,1992,,,2
8,1993,,1,38
9,1994,,2,
10,1995,3,,
11,1996,,,6
12,1997,,1,
13,1998,10,79,7
14,1999,6,3,1
15,2000,2,2,1
16,2001,2,4,1
17,2002,1,1,
18,2003,2,1,2
19,2004,5,4,5
20,2005,2,3,
21,2006,5,3,4
22,2007,3,4,9
23,2008,4,2,11
24,2009,,,6
25,2010,3,4,9
26,2011,2,5,35
27,2012,91,9,
28,2013,,2,
29,2014,1,2,1
